lines ,wavelengths
 fe_09_171_073.1c.   ,171.073
 fe_10_174_532.1c.   ,174.532
 fe_10_175_263.1c.   ,175.263
 fe_10_177_239.1c.   ,177.239
 fe_11_178_056.1c.   ,178.056
 fe_11_180_401.1c.   ,180.401
 ca_15_181_900.1c.   ,181.9
 fe_11_182_167.1c.   ,182.167
 ca_15_182_859.1c.   ,182.859
 ca_14_183_457.1c.   ,183.457
 o__06_184_117.1c.   ,184.117
 fe_10_184_536.1c.   ,184.536
 fe_08_185_213.1c.   ,185.213
 fe_08_186_601.1c.   ,186.601
 fe_12_186_880.1c.   ,186.88
 ar_14_187_964.1c.   ,187.964
 fe_11_188_216.2c.   ,188.216
 fe_11_188_299.2c.   ,188.299
 fe_09_188_497.1c.   ,188.497
 fe_09_188_497.3c.   ,188.497
 s__11_188_675.2c.   ,188.675
 s__11_188_675.3c.   ,188.675
 ar_11_188_806.2c.   ,188.806
 ar_11_188_806.3c.   ,188.806
 fe_09_189_941.2c.   ,189.941
 fe_10_190_038.2c.   ,190.038
 s__11_191_264.2c.   ,191.264
 ar_14_191_404.2c.   ,191.404
 fe_24_192_040.1c.   ,192.04
 fe_24_192_040.2c.   ,192.04
 fe_12_192_394.1c.   ,192.394
 fe_11_192_813.2c.   ,192.813
 ca_17_192_858.1c.   ,192.858
 o__05_192_906.2c.   ,192.906
 fe_12_193_509.1c.   ,193.509
 fe_10_193_715.2c.   ,193.715
 fe_10_193_715.4c.   ,193.715
 fe_10_193_715.6c.   ,193.715
 ca_14_193_874.2c.   ,193.874
 ca_14_193_874.4c.   ,193.874
 ca_14_193_874.6c.   ,193.874
 ni_16_194_046.6c.   ,194.046
 ar_11_194_104.6c.   ,194.104
 mn_10_194_327.6c.   ,194.327
 ar_14_194_396.1c.   ,194.396
 ar_14_194_396.2c.   ,194.396
 ar_14_194_396.4c.   ,194.396
 ar_14_194_396.6c.   ,194.396
 fe_08_194_663.1c.   ,194.663
 fe_08_194_663.2c.   ,194.663
 fe_12_195_119.1c.   ,195.119
 fe_12_195_119.2c.   ,195.119
 fe_12_195_179.2c.   ,195.179
 fe_13_196_525.2c.   ,196.525
 fe_12_196_640.2c.   ,196.64
 s__10_196_814.3c.   ,196.814
 fe_09_197_862.1c.   ,197.862
 fe_13_200_021.1c.   ,200.021
 ca_15_200_972.2c.   ,200.972
 fe_13_201_121.1c.   ,201.121
 fe_13_201_121.2c.   ,201.121
 fe_13_202_044.1c.   ,202.044
 fe_13_203_152.2c.   ,203.152
 fe_13_203_165.3c.   ,203.165
 fe_12_203_720.2c.   ,203.72
 fe_13_203_826.2c.   ,203.826
 fe_17_204_650.1c.   ,204.65
 fe_13_204_937.1c.   ,204.937
 fe_10_207_449.1c.   ,207.449
 ca_16_208_604.2c.   ,208.604
 fe_13_208_679.2c.   ,208.679
 fe_13_209_916.3c.   ,209.916
 fe_14_211_316.1c.   ,211.316
 si_06_246_004.2c.   ,246.004
 fe_13_246_208.1c.   ,246.208
 o__05_248_456.1c.   ,248.456
 fe_16_251_061.1c.   ,251.061
 fe_12_251_868.2c.   ,251.868
 fe_13_251_953.2c.   ,251.953
 fe_14_252_197.1c.   ,252.197
 fe_22_253_170.1c.   ,253.17
 si_10_253_791.1c.   ,253.791
 fe_17_254_870.1c.   ,254.87
 fe_17_254_870.2c.   ,254.87
 fe_24_255_100.2c.   ,255.1
 he_02_256_317.1c.   ,256.317
 he_02_256_317.1c.   ,256.317
 he_02_256_317.2c.   ,256.317
 s__13_256_686.1c. ,256.686
 s__10_257_147.4c.   ,257.147
 fe_10_257_262.4c.   ,257.262
 fe_14_257_390.4c.   ,257.39
 fe_11_257_547.4c.   ,257.547
 fe_11_257_772.1c.   ,257.772
 si_09_258_073.1c.   ,258.073
 si_10_258_375.1c.   ,258.375
 si_10_261_058.1c.   ,261.058
 fe_16_262_984.1c.   ,262.984
 fe_23_263_760.1c.   ,263.76
 s__10_264_233.1c.   ,264.233
 fe_14_264_787.1c.   ,264.787
 fe_16_265_003.1c.   ,265.003
 mg_06_268_986.1c.   ,268.986
 mg_06_270_394.2c.   ,270.394
 fe_14_270_519.2c.   ,270.519
 si_10_271_990.1c.   ,271.99
 fe_14_274_203.1c.   ,274.203
 si_07_275_368.1c.   ,275.368
 si_07_275_368.3c.   ,275.368
 si_07_275_665.3c.   ,275.665
 mg_07_276_153.1c.   ,276.153
 mg_05_276_579.1c.   ,276.579
 si_10_277_265.1c.   ,277.265
 o__04_279_631.1c.   ,279.631
 cr_22_279_740.2c.   ,279.74
 o__04_279_933.1c.   ,279.933
 mg_07_280_737.1c.   ,280.737
 al_09_284_015.2c.   ,284.015
 fe_15_284_160.1c.   ,284.16
 fe_15_284_160.2c.   ,284.16
